year,month,DT_NOTIFICACAO,SG_UF_NOT,ID_MUNICIP,DT_CARGA,count
2020,4,2020-04-04,PR,SARANDI,2024-08-04,2
2020,4,2020-04-08,SP,JALES,2024-08-04,2
2020,4,2020-04-07,SP,SAO VICENTE,2024-08-04,4
2020,3,2020-03-24,MG,SALINAS,2024-08-04,2
2020,4,2020-04-07,RS,GRAVATAI,2024-08-04,4
2020,3,2020-03-03,SP,COTIA,2024-08-04,1
2020,4,2020-04-09,RS,PORTO ALEGRE,2024-08-04,39
2020,4,2020-04-02,PA,BELEM,2024-08-04,3
2020,3,2020-03-29,BA,LAURO DE FREITAS,2024-08-04,3
2020,4,2020-04-07,BA,SIMOES FILHO,2024-08-04,1
2020,3,2020-03-20,SP,ITAPETININGA,2024-08-04,3
2020,4,2020-04-10,PA,PARAUAPEBAS,2024-08-04,3
2020,3,2020-03-20,SC,TIJUCAS,2024-08-04,1
2020,4,2020-04-14,SP,MIRANDOPOLIS,2024-08-04,1
2020,4,2020-04-13,SP,ITAPIRA,2024-08-04,2
2020,4,2020-04-14,MG,ITANHANDU,2024-08-04,1
2020,4,2020-04-15,SP,SAO PAULO,2024-08-04,627
2020,4,2020-04-13,SP,SANTANA DE PARNAIBA,2024-08-04,3
2020,3,2020-03-30,MG,RAUL SOARES,2024-08-04,1
2020,4,2020-04-13,SP,RIO CLARO,2024-08-04,2
2020,4,2020-04-16,RS,SAO LEOPOLDO,2024-08-04,1
2020,1,2020-01-13,CE,FORTALEZA,2024-08-04,3
2020,3,2020-03-06,PR,UMUARAMA,2024-08-04,1
2020,3,2020-03-12,MG,UBERLANDIA,2024-08-04,1
2020,3,2020-03-16,GO,GOIANIA,2024-08-04,13
2020,3,2020-03-19,SP,ITAPETININGA,2024-08-04,4
2020,3,2020-03-23,SP,CAMPO LIMPO PAULISTA,2024-08-04,1
2020,3,2020-03-13,MS,TRES LAGOAS,2024-08-04,1
2020,3,2020-03-22,MA,IMPERATRIZ,2024-08-04,2
2020,3,2020-03-24,MG,GUANHAES,2024-08-04,1
2020,3,2020-03-25,SP,HORTOLANDIA,2024-08-04,2
2020,3,2020-03-25,RS,PORTO ALEGRE,2024-08-04,30
2020,3,2020-03-21,MG,CONTAGEM,2024-08-04,7
2020,3,2020-03-21,PE,CARUARU,2024-08-04,1
2020,3,2020-03-26,SC,PRAIA GRANDE,2024-08-04,1
2020,3,2020-03-16,MG,MONTES CLAROS,2024-08-04,3
2020,3,2020-03-27,SP,SOCORRO,2024-08-04,1
2020,3,2020-03-29,RS,SANTA CRUZ DO SUL,2024-08-04,2
2020,3,2020-03-30,SP,ARARAQUARA,2024-08-04,6
2020,3,2020-03-29,SP,SAO CARLOS,2024-08-04,4
2020,3,2020-03-31,SP,BEBEDOURO,2024-08-04,2
2020,3,2020-03-30,CE,CRATEUS,2024-08-04,1
2020,3,2020-03-31,SP,JABOTICABAL,2024-08-04,4
2020,3,2020-03-31,RS,SANTA CRUZ DO SUL,2024-08-04,1
2020,4,2020-04-02,SP,SANTO ANDRE,2024-08-04,16
2020,4,2020-04-02,MG,CAXAMBU,2024-08-04,1
2020,3,2020-03-31,MG,MANHUACU,2024-08-04,3
2020,4,2020-04-04,RS,NOVO HAMBURGO,2024-08-04,2
2020,4,2020-04-04,PA,BELEM,2024-08-04,9
2020,4,2020-04-08,MG,CURVELO,2024-08-04,1
2020,4,2020-04-01,SP,LORENA,2024-08-04,3
2020,4,2020-04-09,BA,LAURO DE FREITAS,2024-08-04,3
2020,4,2020-04-10,MG,BELO HORIZONTE,2024-08-04,55
2020,4,2020-04-10,RS,URUGUAIANA,2024-08-04,1
2020,4,2020-04-07,MG,JUIZ DE FORA,2024-08-04,8
2020,4,2020-04-15,SC,SAO LOURENCO DO OESTE,2024-08-04,1
2020,4,2020-04-14,MG,ARAXA,2024-08-04,2
2020,4,2020-04-13,GO,URUACU,2024-08-04,1
2020,4,2020-04-16,PI,PARNAIBA,2024-08-04,5
2020,4,2020-04-10,MG,BETIM,2024-08-04,6
2020,4,2020-04-16,SC,JOINVILLE,2024-08-04,2
2020,4,2020-04-15,BA,SANTO ANTONIO DE JESUS,2024-08-04,1
2020,1,2020-01-07,BA,SALVADOR,2024-08-04,2
